lat;lng;couvert;capacite;payant;type
48.8096997949;2.1666851997;NON;4;NON;arceaux
48.8716759949;2.1689253997;NON;6;NON;arceaux
48.8869587949;2.1690447997;NON;10;NON;arceaux
48.8887662949;2.1694561997;NON;4;NON;inconnu
48.8887589949;2.1695314997;OUI;4;NON;inconnu
48.8867736949;2.1701074997;NON;20;NON;inconnu
48.9095144949;2.1560717997;NON;8;NON;arceaux
48.9375060449;2.15814025388;OUI;0;NON;inconnu
48.9394204949;2.1588777997;NON;8;NON;arceaux
48.9901926949;2.1655451997;NON;4;NON;arceaux
48.5647857949;2.17113354953;OUI;12;NON;arceaux
48.7070988949;2.1718442997;NON;0;NON;inconnu
48.7036347449;2.17273166102;OUI;14;NON;arceaux
48.6890541949;2.1746819997;NON;2;NON;arceaux
48.7033919949;2.1762962997;NON;0;NON;inconnu
48.6852206949;2.1781615997;NON;4;NON;arceaux
48.7028136949;2.1798509997;OUI;14;NON;arceaux
48.6836122949;2.1809001997;NON;2;NON;arceaux
48.6836201949;2.1810249997;NON;2;NON;arceaux
48.6832260949;2.1836624997;NON;4;NON;arceaux
48.7026434949;2.1825851997;OUI;14;NON;arceaux
48.6999390949;2.1833957997;OUI;12;NON;ratelier
48.6996912949;2.1873092997;NON;0;NON;ratelier
48.7069851949;2.1888502997;NON;2;NON;arceaux
48.6981616949;2.1896266997;NON;4;NON;arceaux
48.7034828949;2.19945949969;NON;12;NON;ratelier
48.8042661949;2.1759066997;NON;6;NON;arceaux
48.8874453949;2.17238126502;OUI;224;OUI;abri
48.8897589949;2.1724818997;NON;6;NON;arceaux
48.8762015949;2.1771741997;NON;8;NON;arceaux
48.8863085949;2.1796677997;NON;8;NON;arceaux
48.8868573949;2.1797331997;NON;6;NON;arceaux
48.7998965949;2.1846011997;NON;4;NON;arceaux
48.8003165949;2.1863833997;NON;0;NON;arceaux
48.8743198949;2.1811487997;NON;4;NON;arceaux
48.8755768949;2.1809589997;NON;4;NON;arceaux
48.8754535949;2.1810185997;NON;6;NON;inconnu
48.8777723949;2.1811954997;NON;4;NON;arceaux
48.8733577949;2.1813740997;NON;14;NON;arceaux
48.8736888949;2.1814411997;NON;6;NON;arceaux
48.8779606949;2.1821348997;NON;0;NON;inconnu
48.8863616949;2.1810639997;NON;4;NON;arceaux
48.8926159949;2.1802346997;NON;18;NON;inconnu
48.8085167949;2.1878691997;NON;0;NON;arceaux
48.8766401949;2.1860653997;NON;16;NON;arceaux
48.8828834949;2.1882360997;NON;8;NON;arceaux
48.7136884949;2.1907365997;NON;10;NON;arceaux
48.7122293949;2.19845119969;OUI;0;NON;inconnu
48.7803097949;2.19624189969;NON;0;NON;arceaux
48.8094719949;2.1895288997;NON;0;NON;arceaux
48.8624764949;2.19384729969;NON;6;NON;arceaux
48.9032565949;2.19247389969;NON;20;NON;inconnu
48.9034122949;2.19344759969;NON;8;NON;inconnu
48.8175261949;2.19642749969;NON;0;NON;arceaux
48.8883683949;2.19419329969;NON;6;NON;arceaux
48.9045709949;2.19448709969;NON;8;NON;arceaux
48.8870755949;2.19565499969;NON;5;NON;arceaux
48.8779208949;2.19683309969;NON;6;NON;arceaux
48.8899472949;2.19733339969;NON;20;NON;arceaux
48.8892985949;2.19786199969;NON;6;NON;arceaux
48.8910038949;2.19768539969;NON;6;NON;arceaux
48.9019791949;2.19773259969;NON;6;NON;arceaux
48.9014728949;2.19837219969;NON;14;NON;arceaux
48.8901361949;2.19872399969;NON;2;NON;arceaux
48.8903441949;2.19906269969;NON;2;NON;arceaux
48.9000040949;2.19945169969;NON;8;NON;arceaux
48.8716065949;2.20258199969;NON;10;NON;arceaux
48.8219682949;2.20669989969;NON;8;NON;arceaux
48.8920823949;2.20641149969;OUI;8;NON;casier
48.8920982949;2.20644359969;NON;12;NON;inconnu
48.8967123949;2.20764209969;NON;6;NON;ratelier
48.9253595949;2.1896776997;NON;8;NON;arceaux
48.9688032949;2.19315689969;OUI;32;NON;ancrage
48.9645279949;2.19405709969;NON;6;NON;ratelier
49.0574508449;2.19064093486;OUI;10;NON;inconnu
49.0076467949;2.19753279969;OUI;16;NON;arceaux
48.9080426949;2.20081259969;NON;8;NON;inconnu
49.0085443949;2.19863709969;NON;2;NON;arceaux
49.0513531949;2.20629529969;NON;16;NON;arceaux
48.5141769949;2.21586192996;OUI;8;NON;abri
48.6929038949;2.21383154807;OUI;4;NON;inconnu
48.6425242949;2.22981649969;NON;12;NON;arceaux
48.7097881949;2.22693179969;NON;2;NON;arceaux
48.6955245949;2.22843029969;NON;12;NON;arceaux
48.6959980949;2.22923029969;NON;7;NON;ratelier
48.6430048949;2.23175069969;NON;6;NON;ratelier
48.6435943949;2.23321029969;NON;2;NON;arceaux
48.6976763949;2.23447029969;NON;8;NON;arceaux
48.6822854949;2.23700639969;NON;6;NON;ratelier
48.6632198949;2.23797469969;OUI;6;NON;arceaux
48.6602458949;2.24328259969;NON;4;NON;ratelier
48.6821520949;2.24207999969;NON;6;NON;ratelier
48.7508757949;2.21225189969;NON;6;NON;arceaux
48.7108820949;2.21250699969;NON;5;NON;ratelier
48.7549538949;2.21495469969;NON;4;NON;arceaux
48.7829629949;2.21314229969;NON;12;NON;arceaux
48.8236817949;2.20852859969;NON;2;NON;arceaux
48.8238728949;2.20911759969;NON;2;NON;arceaux
48.8231081949;2.20992329969;NON;10;NON;arceaux
48.8232847949;2.21152829969;NON;4;NON;arceaux
48.8437767949;2.21104209969;NON;6;NON;arceaux
